

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

076.804  000.109  000.109: sourcing /usr/local/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/tarPlugin.vim
076.966  000.084  000.084: sourcing /usr/local/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/tohtml.vim
077.069  000.028  000.028: sourcing /usr/local/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/tutor.vim
077.279  000.138  000.138: sourcing /usr/local/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/zipPlugin.vim
078.096  007.820: loading rtp plugins
079.659  000.156  000.156: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/animate.vim/plugin/animate.vim
080.139  000.054  000.054: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/bufdelete.nvim/plugin/bufdelete.vim
085.126  000.098  000.098: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/coc.nvim/autoload/coc/rpc.vim
085.744  000.444  000.444: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/coc.nvim/autoload/coc/util.vim
086.210  000.163  000.163: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/coc.nvim/autoload/coc/client.vim
090.044  009.513  008.808: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/coc.nvim/plugin/coc.vim
090.837  000.075  000.075: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/context.vim/autoload/context/settings.vim
091.049  000.505  000.430: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/context.vim/plugin/context.vim
091.546  000.157  000.157: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/csv.vim/plugin/csv.vim
092.052  000.085  000.085: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/DAPInstall.nvim/plugin/dicmds.vim
092.473  000.086  000.086: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/FixCursorHold.nvim/plugin/fix_cursorhold_nvim.vim
093.097  000.118  000.118: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/glow.nvim/plugin/glow.lua
093.356  000.032  000.032: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/goyo.vim/plugin/goyo.vim
094.187  000.510  000.510: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/indent-blankline.nvim/plugin/indent_blankline.vim
094.577  000.027  000.027: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/JABS.nvim/plugin/jabs.vim
095.147  000.157  000.157: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/lens.vim/plugin/lens.vim
095.515  000.050  000.050: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/limelight.vim/plugin/limelight.vim
096.022  000.037  000.037: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/neoformat/plugin/neoformat.vim
096.709  000.059  000.059: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/neomake/autoload/neomake/setup.vim
096.772  000.416  000.357: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/neomake/plugin/neomake.vim
097.722  000.214  000.214: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/NERDTree/autoload/nerdtree.vim
098.478  000.351  000.351: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/NERDTree/lib/nerdtree/path.vim
098.869  000.110  000.110: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/NERDTree/lib/nerdtree/menu_controller.vim
099.135  000.073  000.073: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/NERDTree/lib/nerdtree/menu_item.vim
099.416  000.097  000.097: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/NERDTree/lib/nerdtree/key_map.vim
099.780  000.178  000.178: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/NERDTree/lib/nerdtree/bookmark.vim
100.131  000.159  000.159: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/NERDTree/lib/nerdtree/tree_file_node.vim
100.634  000.305  000.305: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/NERDTree/lib/nerdtree/tree_dir_node.vim
101.142  000.237  000.237: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/NERDTree/lib/nerdtree/opener.vim
101.746  000.288  000.288: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/NERDTree/lib/nerdtree/creator.vim
102.110  000.052  000.052: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/NERDTree/lib/nerdtree/flag_set.vim
102.397  000.107  000.107: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/NERDTree/lib/nerdtree/nerdtree.vim
102.805  000.228  000.228: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/NERDTree/lib/nerdtree/ui.vim
